data,moeda,close,media_movel_200
2023-10-31,ETH/USDT,1814.67,1780.0339999999999
2023-11-01,ETH/USDT,1846.99,1778.81595
2023-11-02,ETH/USDT,1800.8,1777.2266
2023-11-03,ETH/USDT,1832.71,1776.0201499999998
2023-11-04,ETH/USDT,1855.54,1774.78035
2023-11-05,ETH/USDT,1891.71,1774.57025
2023-11-06,ETH/USDT,1900.95,1774.3601
2023-11-07,ETH/USDT,1885.27,1774.5425500000001
2023-11-08,ETH/USDT,1888.12,1774.61235
2023-11-09,ETH/USDT,2121.32,1775.9089500000002
2023-11-10,ETH/USDT,2077.72,1777.08835
2023-11-11,ETH/USDT,2053.17,1778.0237
2023-11-12,ETH/USDT,2044.68,1778.9170500000002
2023-11-13,ETH/USDT,2053.65,1779.6419
2023-11-14,ETH/USDT,1979.39,1780.0841500000001
2023-11-15,ETH/USDT,2058.48,1780.83755
2023-11-16,ETH/USDT,1961.77,1781.29595
2023-11-17,ETH/USDT,1960.82,1781.9464
2023-11-18,ETH/USDT,1962.6,1782.4089999999999
2023-11-19,ETH/USDT,2011.47,1782.9407500000002
2023-11-20,ETH/USDT,2021.4,1783.6624
2023-11-21,ETH/USDT,1933.01,1783.36095
2023-11-22,ETH/USDT,2063.21,1784.19535
2023-11-23,ETH/USDT,2062.2,1785.1543500000002
2023-11-24,ETH/USDT,2080.84,1786.32075
2023-11-25,ETH/USDT,2083.09,1787.5036000000002
2023-11-26,ETH/USDT,2062.33,1788.6110499999998
2023-11-27,ETH/USDT,2027.5,1789.77705
2023-11-28,ETH/USDT,2048.14,1790.9805
2023-11-29,ETH/USDT,2028.81,1792.149
2023-11-30,ETH/USDT,2051.96,1793.41275
2023-12-01,ETH/USDT,2087.24,1794.7679500000002
2023-12-02,ETH/USDT,2164.74,1796.4705999999999
2023-12-03,ETH/USDT,2192.95,1798.32475
2023-12-04,ETH/USDT,2243.37,1800.5388
2023-12-05,ETH/USDT,2293.33,1802.94385
2023-12-06,ETH/USDT,2232.7,1805.0102500000003
2023-12-07,ETH/USDT,2355.73,1807.76435
2023-12-08,ETH/USDT,2358.72,1810.4712
2023-12-09,ETH/USDT,2340.49,1812.9034
2023-12-10,ETH/USDT,2352.39,1815.6659
2023-12-11,ETH/USDT,2225.12,1817.7634999999998
2023-12-12,ETH/USDT,2203.46,1819.64185
2023-12-13,ETH/USDT,2260.16,1821.7931999999998
2023-12-14,ETH/USDT,2315.32,1823.8266
2023-12-15,ETH/USDT,2220.5,1825.4660999999999
2023-12-16,ETH/USDT,2228.96,1827.10795
2023-12-17,ETH/USDT,2196.52,1828.7224
2023-12-18,ETH/USDT,2219.43,1830.51065
2023-12-19,ETH/USDT,2177.91,1831.8668
2023-12-20,ETH/USDT,2202.17,1833.41735
2023-12-21,ETH/USDT,2239.61,1835.16535
2023-12-22,ETH/USDT,2324.54,1837.7355499999999
2023-12-23,ETH/USDT,2308.2,1839.8533499999999
2023-12-24,ETH/USDT,2264.05,1842.01295
2023-12-25,ETH/USDT,2271.35,1844.1415
2023-12-26,ETH/USDT,2230.88,1846.09405
2023-12-27,ETH/USDT,2378.35,1849.22815
2023-12-28,ETH/USDT,2344.15,1852.1850999999997
2023-12-29,ETH/USDT,2299.2,1854.96825
2023-12-30,ETH/USDT,2291.68,1857.7260499999998
2023-12-31,ETH/USDT,2281.87,1860.88065
2024-01-01,ETH/USDT,2352.04,1864.3060500000001
2024-01-02,ETH/USDT,2355.34,1867.49315
2024-01-03,ETH/USDT,2209.72,1869.9029500000001
2024-01-04,ETH/USDT,2267.11,1872.63375
2024-01-05,ETH/USDT,2268.78,1875.2921
2024-01-06,ETH/USDT,2240.78,1877.5360500000002
2024-01-07,ETH/USDT,2221.42,1879.1975999999997
2024-01-08,ETH/USDT,2330.44,1881.48975
